train_model,test_model,features,fpr,tpr,AUC
SVM,XGB,64,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,65,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,65,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,65,[0. 0. 1.],[0.         0.97761194 1.        ],0.9888059701492538
SVM,RF,65,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,65,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,66,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,66,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,66,[0.         0.05882353 1.        ],[0.         0.98507463 1.        ],0.9631255487269534
SVM,RF,66,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,66,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,67,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,67,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,67,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
SVM,RF,67,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,67,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,68,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,68,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,68,[0. 0. 1.],[0. 1. 1.],1.0
SVM,RF,68,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,68,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,69,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,69,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,69,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
SVM,RF,69,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,69,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,70,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,70,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,70,[0.         0.05882353 1.        ],[0.         0.97761194 1.        ],0.9593942054433714
SVM,RF,70,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,70,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,71,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,71,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,71,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,RF,71,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,71,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,72,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,72,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,72,[0.         0.11764706 1.        ],[0.         0.96268657 1.        ],0.9225197541703247
SVM,RF,72,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,72,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,73,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,73,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,73,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
SVM,RF,73,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,73,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,74,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,74,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,74,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
SVM,RF,74,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,74,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,75,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,75,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,75,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
SVM,RF,75,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,75,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,76,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,76,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,76,[0.         0.05882353 1.        ],[0.         0.98507463 1.        ],0.9631255487269534
SVM,RF,76,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,76,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,77,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,77,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,77,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,RF,77,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,77,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,78,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,78,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,78,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
SVM,RF,78,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,78,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,79,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,79,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,79,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,RF,79,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,79,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,80,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,80,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,80,[0.         0.05882353 1.        ],[0.         0.97761194 1.        ],0.9593942054433714
SVM,RF,80,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,80,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,81,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,81,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,81,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
SVM,RF,81,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,81,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,82,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,82,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,82,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
