Gene name,GO domain,GO term accession
ACTN2,molecular_function,GO:0008092
ACTN2,cellular_component,GO:0015629
ACTN2,cellular_component,GO:0030175
ACTN2,cellular_component,GO:0005576
ACTN2,cellular_component,GO:0043197
ACTN2,biological_process,GO:0042981
ACTN2,cellular_component,GO:0030018
ACTN2,cellular_component,GO:0030018
ACTN2,molecular_function,GO:0019904
ACTN2,cellular_component,GO:0005829
ACTN2,cellular_component,GO:0070062
ACTN2,molecular_function,GO:0051015
ACTN2,molecular_function,GO:0044325
ACTN2,biological_process,GO:0030036
ACTN2,molecular_function,GO:0005546
ACTN2,cellular_component,GO:0030054
ACTN2,cellular_component,GO:0030018
ACTN2,biological_process,GO:0048041
ACTN2,molecular_function,GO:0005178
ACTN2,cellular_component,GO:0031093
ACTN2,biological_process,GO:0042391
ACTN2,biological_process,GO:0072659
ACTN2,biological_process,GO:0043267
ACTN2,biological_process,GO:1901017
ACTN2,cellular_component,GO:0030864
ACTN2,cellular_component,GO:0042995
ACTN2,molecular_function,GO:0008307
ACTN2,molecular_function,GO:0031432
ACTN2,molecular_function,GO:0070080
ACTN2,biological_process,GO:0030035
ACTN2,biological_process,GO:0055001
ACTN2,cellular_component,GO:0031143
ACTN2,cellular_component,GO:0005884
ACTN2,biological_process,GO:1901018
ACTN2,biological_process,GO:0045214
ACTN2,biological_process,GO:0043268
ACTN2,molecular_function,GO:0008092
ACTN2,molecular_function,GO:0030274
ACTN2,molecular_function,GO:0030374
ACTN2,molecular_function,GO:0044325
ACTN2,molecular_function,GO:0051015
ACTN2,molecular_function,GO:0051373
ACTN2,molecular_function,GO:0070080
ACTN2,biological_process,GO:0051695
ACTN2,biological_process,GO:0055013
ACTN2,biological_process,GO:0072659
ACTN2,biological_process,GO:0086097
ACTN2,biological_process,GO:2000009
ACTN2,biological_process,GO:2001137
ACTN2,biological_process,GO:2001137
ACTN2,biological_process,GO:2001259
ACTN2,cellular_component,GO:0030017
ACTN2,cellular_component,GO:0030864
ACTN2,cellular_component,GO:0098839
ACTN2,cellular_component,GO:0098871
ACTN2,cellular_component,GO:0098978
ACTN2,cellular_component,GO:0099092
ACTN2,molecular_function,GO:0005515
ACTN2,molecular_function,GO:0005509
ACTN2,molecular_function,GO:0005515
ACTN2,cellular_component,GO:0005737
ACTN2,molecular_function,GO:0046872
ACTN2,cellular_component,GO:0005886
ACTN2,molecular_function,GO:0042802
ACTN2,molecular_function,GO:0003779
ACTN2,biological_process,GO:0007155
ACTN2,cellular_component,GO:0005856
ACTN2,cellular_component,GO:0005925
ACTN2,biological_process,GO:0045893
ACTN2,molecular_function,GO:0008092
ACTN2,cellular_component,GO:0015629
ACTN2,cellular_component,GO:0030175
ACTN2,cellular_component,GO:0005576
ACTN2,cellular_component,GO:0043197
ACTN2,biological_process,GO:0042981
ACTN2,cellular_component,GO:0030018
ACTN2,cellular_component,GO:0030018
ACTN2,molecular_function,GO:0019904
ACTN2,cellular_component,GO:0005829
ACTN2,cellular_component,GO:0070062
ACTN2,molecular_function,GO:0051015
ACTN2,molecular_function,GO:0044325
ACTN2,biological_process,GO:0030036
ACTN2,molecular_function,GO:0005546
ACTN2,cellular_component,GO:0030054
ACTN2,cellular_component,GO:0030018
ACTN2,biological_process,GO:0048041
ACTN2,molecular_function,GO:0005178
ACTN2,cellular_component,GO:0031093
ACTN2,biological_process,GO:0042391
ACTN2,biological_process,GO:0072659
ACTN2,biological_process,GO:0043267
ACTN2,biological_process,GO:1901017
ACTN2,cellular_component,GO:0030864
ACTN2,cellular_component,GO:0042995
ACTN2,molecular_function,GO:0008307
ACTN2,molecular_function,GO:0031432
ACTN2,molecular_function,GO:0070080
ACTN2,biological_process,GO:0030035
ACTN2,biological_process,GO:0055001
ACTN2,cellular_component,GO:0031143
ACTN2,cellular_component,GO:0005884
ACTN2,biological_process,GO:1901018
ACTN2,biological_process,GO:0045214
ACTN2,biological_process,GO:0043268
ACTN2,molecular_function,GO:0051373
ACTN2,molecular_function,GO:0070080
ACTN2,biological_process,GO:0051695
ACTN2,biological_process,GO:0086097
ACTN2,biological_process,GO:2000009
ACTN2,biological_process,GO:2001137
ACTN2,biological_process,GO:2001259
ACTN2,cellular_component,GO:0110165
ACTN2,molecular_function,GO:0003779
ACTN2,,
ACTN2,molecular_function,GO:0005515
ACTN2,molecular_function,GO:0005509
ACTN2,molecular_function,GO:0003779
ACTN2,cellular_component,GO:0015629
ACTN2,,
ACTN2,,
ACTN2,cellular_component,GO:0110165
ACTN2,molecular_function,GO:0003779
ACTN2,,
ACTN2,,
