"","ACVR1C","ADD2","ADHFE1","ARHGDIB","BMP3","BOLL","CD96","CHRNA6","CLDN10","CNR1","COL23A1","CSPP1","CST7","DLX5","EOMES","EVX1","FGF12","FNDC1","GDNF","GREB1","GREM1","HOXD10","HOXD13","HOXD8","HOXD9","IFI27","IKZF1","IMMP2L","KCNK12","KCNN2","KLF6","LRRC4","MIR1178","MIR129-2","MIR137","MIR196A1","NDRG4","NPBWR1","NPY","PHLDB2","PIK3R5","PIWIL1","PPP1R16B","PRDM2","RAB5A","REC8","SALL1","SALL3","SERPINB5","SH3D19","SLCO4C1","SLFN13","SOCS5","ST8SIA1","ST8SIA5","TBX18","WSB1","ZIK1","ZNF132","ZNF154","ZNF529","ZNF582","ZNF626","ZNF793","ASAM","C15orf38","FAM159A","ZNF542"
"MIR196A1",0.898,0.765,0.925,0.853,0.871,0.871,0.871,0.89,0.871,0.871,0.643,0.871,0.871,0.871,0.902,0.902,0.871,0.853,0.853,0.853,0.853,0.733,0.902,0.902,0.902,0.925,0.49,0.885,0.853,0.853,0.881,0.903,0,0,0,0,0.871,0.853,0.853,0.853,0.834,0.871,0.853,0.919,0.853,0.765,0.871,0.938,0.871,0.881,0.903,0.871,0.834,0.853,0.951,0.829,0.881,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.853,0.91,0.853,0.938
"NDRG4",0.474,0.332,0.454,0.331,0.686,0,0.209,0.489,0.266,0.369,0.451,0.495,0.452,0.408,0.625,0.564,0.432,0.531,0.51,0.506,0.648,0.451,0.625,0.581,0.565,0.381,0.455,0.611,0.313,0.433,0.4,0.54,0.871,0.871,0.871,0.871,0,0.426,0.524,0.336,0.306,0.389,0.25,0.51,0.439,0.597,0.428,0.306,0.29,0.244,0.41,0,0.47,0.449,0.392,0.565,0,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.436,0.554,0.313,0.306
"NPBWR1",0.401,0.468,0.774,0.479,0.63,0.531,0.36,0.178,0.404,0.34,0.489,0.664,0.685,0.633,0.707,0.573,0.46,0.457,0.576,0.425,0.555,0.688,0.707,0.71,0.723,0.718,0.679,0.763,0,0.331,0.688,0.267,0.853,0.853,0.853,0.853,0.426,0,0.51,0.455,0.416,0.654,0.412,0.753,0.534,0.743,0.655,0.732,0.462,0.425,0.486,0.531,0.623,0.365,0.661,0.72,0.573,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.428,0.416,0,0.732
"NPY",0.74,0.559,0.544,0.452,0.39,0.431,0.542,0.569,0.568,0.47,0.453,0.586,0.265,0.505,0.63,0.589,0.246,0,0.146,0.51,0.432,0.56,0.63,0.588,0.574,0.519,0.563,0.709,0.457,0.577,0.503,0.58,0.853,0.853,0.853,0.853,0.524,0.51,0,0.577,0.556,0.513,0.492,0.455,0.538,0.61,0.516,0.357,0.384,0.579,0.572,0.431,0.612,0.483,0.292,0.575,0.518,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.595,0.658,0.457,0.357
"PHLDB2",0.53,0.315,0.652,0.32,0.665,0.159,0.331,0.509,0.366,0.413,0.522,0.411,0.567,0.458,0.622,0.626,0.49,0.457,0.569,0.569,0.599,0.496,0.622,0.617,0.612,0.669,0.522,0.769,0.313,0.47,0.479,0.567,0.853,0.853,0.853,0.853,0.336,0.455,0.577,0,0.377,0.481,0.383,0.66,0.502,0.64,0.467,0.618,0.38,0.354,0.561,0.159,0.488,0.558,0.658,0.633,0,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.45,0.37,0.313,0.618
"PIK3R5",0.523,0.358,0.607,0.282,0.668,0,0.342,0.534,0.376,0.411,0.512,0.374,0.518,0.389,0.598,0.54,0.413,0.457,0.554,0.423,0.619,0.42,0.598,0.543,0.512,0.558,0.404,0.681,0,0.42,0.372,0.577,0.834,0.834,0.834,0.834,0.306,0.416,0.556,0.377,0,0.386,0.276,0.523,0.447,0.535,0.388,0,0.387,0.318,0.546,0,0.274,0.443,0.548,0.51,0,0,0,0,0,0,0,0,0.489,0.658,0,0
"PIWIL1",0.77,0.48,0.437,0.351,0.682,0,0.344,0.731,0.398,0.507,0.624,0.414,0.45,0.203,0.47,0.438,0.261,0.531,0.494,0.544,0.65,0.239,0.47,0.383,0.374,0.452,0.347,0.649,0.531,0.581,0.278,0.748,0.871,0.871,0.871,0.871,0.389,0.654,0.513,0.481,0.386,0,0.26,0.347,0.498,0.416,0.243,0,0.356,0.379,0.715,0,0.455,0.594,0.548,0.372,0.159,0,0,0,0,0,0,0,0.582,0.694,0.531,0
"PPP1R16B",0.529,0.389,0.479,0.351,0.635,0,0.242,0.479,0.298,0.396,0.461,0.474,0.455,0.252,0.462,0.384,0.283,0.457,0.475,0.388,0.581,0.332,0.462,0.431,0.375,0.486,0.323,0.674,0.313,0.442,0.276,0.564,0.853,0.853,0.853,0.853,0.25,0.412,0.492,0.383,0.276,0.26,0,0.346,0.406,0.472,0.255,0,0.294,0.199,0.531,0,0.487,0.497,0.548,0.376,0.159,0,0,0,0,0,0,0,0.458,0.406,0.313,0
"PRDM2",0.819,0.626,0.296,0.556,0.713,0.431,0.577,0.807,0.623,0.676,0.633,0.59,0.368,0.275,0.272,0.316,0.371,0.717,0.384,0.369,0.743,0.318,0.272,0.244,0.165,0.379,0.303,0.568,0.717,0.705,0.196,0.81,0.919,0.919,0.919,0.919,0.51,0.753,0.455,0.66,0.523,0.347,0.346,0,0.564,0.362,0.245,0,0.599,0.35,0.695,0.431,0.641,0.497,0.292,0.183,0.518,0,0,0,0,0,0,0,0.701,0.796,0.717,0
"RAB5A",0.718,0.38,0.62,0.34,0.642,0,0.51,0.589,0.517,0.413,0.577,0.519,0.398,0.502,0.648,0.481,0.484,0.457,0.555,0.535,0.676,0.522,0.648,0.647,0.605,0.593,0.533,0.748,0.313,0.51,0.48,0.646,0.853,0.853,0.853,0.853,0.439,0.534,0.538,0.502,0.447,0.498,0.406,0.564,0,0.638,0.474,0.129,0.497,0.504,0.548,0,0.605,0.598,0.447,0.61,0,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.618,0.269,0.313,0.129
