selection_model,train_model,features,fpr,tpr,threshold
DecisionTree,RandomForest,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.42105263157894735, 1.0]","[0.0, 0.949685534591195, 0.9559748427672956, 0.9685534591194969, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0, 1.0]","[       inf 1.         0.98       0.96666667 0.83333333 0.78166667
 0.7375     0.1        0.        ]"
DecisionTree,SVM,4,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.006289308176100629, 1.0, 1.0]",[       inf 1.         0.68477953 0.00515596]
DecisionTree,DecisionTree,4,"[0.0, 0.10526315789473684, 0.15789473684210525, 0.21052631578947367, 1.0]","[0.0, 0.9937106918238994, 1.0, 1.0, 1.0]",[       inf 1.         0.66666667 0.33333333 0.        ]
DecisionTree,XGBoost,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.15789473684210525, 0.3684210526315789, 0.47368421052631576, 0.5263157894736842, 1.0]","[0.0, 0.6352201257861635, 0.6729559748427673, 0.6792452830188679, 0.7044025157232704, 0.7232704402515723, 0.7295597484276729, 0.7547169811320755, 0.7672955974842768, 0.7861635220125787, 0.7987421383647799, 0.8176100628930818, 0.8490566037735849, 0.8679245283018868, 0.8805031446540881, 0.8867924528301887, 0.9056603773584906, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.97484595 0.97407544 0.97265077 0.972112   0.9718375
 0.9709024  0.9701465  0.9697099  0.96846753 0.96782595 0.9672879
 0.96688753 0.96359247 0.963088   0.96195674 0.96152943 0.8258758
 0.6833089  0.6607786  0.48319235 0.19795375 0.18420681 0.14091063
 0.13031694]"
DecisionTree,RandomForest,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.2631578947368421, 0.3157894736842105, 0.47368421052631576, 1.0]","[0.0, 0.9433962264150944, 0.9685534591194969, 0.9874213836477987, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.95 0.9  0.65 0.55 0.25 0.2  0.1  0.  ]
DecisionTree,SVM,5,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.03773584905660377, 1.0, 1.0]",[           inf 1.00000000e+00 4.69080065e-01 7.81205562e-04]
DecisionTree,DecisionTree,5,"[0.0, 0.10526315789473684, 1.0]","[0.0, 0.9937106918238994, 1.0]",[inf  1.  0.]
RandomForest,XGBoost,1,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.2631578947368421, 0.3684210526315789, 1.0]","[0.0, 0.8930817610062893, 0.9245283018867925, 0.949685534591195, 0.9622641509433962, 0.9937106918238994, 0.9937106918238994, 1.0]","[       inf 0.97127455 0.9599228  0.9356128  0.54888165 0.48936388
 0.30614445 0.2727513 ]"
RandomForest,RandomForest,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.2631578947368421, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 0.3684210526315789, 0.3684210526315789, 0.42105263157894735, 0.42105263157894735, 0.47368421052631576, 1.0]","[0.0, 0.9119496855345912, 0.9182389937106918, 0.9308176100628931, 0.9371069182389937, 0.9371069182389937, 0.9433962264150944, 0.9433962264150944, 0.949685534591195, 0.949685534591195, 0.9622641509433962, 0.9685534591194969, 0.9748427672955975, 0.9811320754716981, 0.9874213836477987, 0.9874213836477987, 0.9937106918238994, 0.9937106918238994, 1.0]","[       inf 1.         0.93452381 0.89285714 0.89166667 0.875
 0.86785714 0.85       0.81785714 0.7925     0.73416667 0.725
 0.3725     0.31333333 0.26785714 0.2        0.1        0.025
 0.        ]"
RandomForest,SVM,1,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.21052631578947367, 0.21052631578947367, 0.6842105263157895, 0.6842105263157895, 1.0]","[0.0, 0.006289308176100629, 0.949685534591195, 0.949685534591195, 0.9685534591194969, 0.9685534591194969, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0]","[       inf 1.         0.82894253 0.78967919 0.57415935 0.52827222
 0.40511706 0.1074059  0.07477581 0.01186108]"
RandomForest,DecisionTree,1,"[0.0, 0.2631578947368421, 1.0]","[0.0, 0.9622641509433962, 1.0]",[inf  1.  0.]
RandomForest,XGBoost,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.15789473684210525, 0.3157894736842105, 0.42105263157894735, 0.5789473684210527, 1.0]","[0.0, 0.7924528301886793, 0.8050314465408805, 0.8364779874213837, 0.8742138364779874, 0.8805031446540881, 0.9056603773584906, 0.9182389937106918, 0.9433962264150944, 0.9748427672955975, 0.9811320754716981, 0.9811320754716981, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9974547  0.9922145  0.9887889  0.95728576 0.940112
 0.9372323  0.9268152  0.9055874  0.8905579  0.86139566 0.660643
 0.55572927 0.26765344 0.23667115 0.16724719 0.13203084 0.11429738]"
RandomForest,RandomForest,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.2631578947368421, 0.3684210526315789, 0.47368421052631576, 0.47368421052631576, 1.0]","[0.0, 0.9056603773584906, 0.9433962264150944, 0.949685534591195, 0.9748427672955975, 0.9748427672955975, 0.9937106918238994, 0.9937106918238994, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0]","[       inf 1.         0.98571429 0.975      0.96666667 0.67142857
 0.56071429 0.25       0.2        0.10833333 0.1        0.        ]"
RandomForest,SVM,2,"[0.0, 0.0, 0.0, 0.6842105263157895, 0.6842105263157895, 1.0]","[0.0, 0.006289308176100629, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0]",[       inf 0.99999976 0.56269579 0.1472959  0.13804143 0.09059132]
RandomForest,DecisionTree,2,"[0.0, 0.10526315789473684, 0.15789473684210525, 0.21052631578947367, 1.0]","[0.0, 0.9874213836477987, 0.9874213836477987, 0.9937106918238994, 1.0]",[       inf 1.         0.66666667 0.5        0.        ]
