"","ACTBL2","ADAMTS16","B3GALT1","C10orf90","C1D","C1QL2","CCL7","CD40","CHL1","CLDN17","CLRN1","CLSTN2","CNTNAP2","COL23A1","COL4A1","DOK6","DRD4","EYA4","FIGN","FLG","FOXI2","GAP43","GATA2","GFRAL","GPR26","GSC2","HMGCLL1","INA","IRX4","ITGA8","KCNA1","KIFC3","KRTAP24-1","KY","MEST","MMP26","NALCN","NDRG4","NPR3","OR10J5","OR10S1","PCDH10","PIGB","PODN","RASGRF1","RIMS4","SALL1","SCN7A","SHISA2","SIRPG","SLC18A3","SLC4A11","SLC6A15","SLC6A2","SLITRK5","SORCS1","SOX21","ST6GALNAC5","SUB1","THBS4","TRDN","TRPC6","TWIST1","UNC5C","UNC5D","ZNF132","ZNF135","ZNF334","ZNF793","C6orf186","C8orf85","FAM19A4","WDR8"
"SALL1",0.513,0.623,0.93,0.74,0.475,0.212,0.524,0.453,0.343,0.506,0,0.479,0.412,0.505,0.53,0,0.516,0.4,0.594,0.402,0.355,0.509,0.218,0.553,0.853,0.205,0.62,0.555,0.126,0.529,0.613,0.55,0.694,0.846,0.517,0.725,0.637,0.442,0.556,0.892,0.892,0.175,0.907,0.75,0.696,0.444,0,0.923,0,0,0.614,0.754,0.659,0.527,0,0.531,0.319,0.894,0.374,0.429,0.456,0.602,0.226,0.532,0.853,0.184,0.05,0.05,0.184,0.853,0,0.482,0
"SCN7A",0.826,0.96,0.978,0.969,0.923,0.945,0.923,0.923,0.96,0.638,0.923,0.945,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.945,0.923,0.923,0.923,0.96,0.923,0.96,0.923,0.923,0.956,0.494,0.923,0.887,0.95,0.923,0.973,0,0.826,0.923,0.96,0.96,0.969,0.969,0.945,0.96,0.923,0.923,0,0.923,0.923,0.737,0.089,0.693,0.572,0.923,0.923,0.923,0.96,0.923,0.923,0.923,0.238,0.923,0.923,0.96,0.945,0.923,0.923,0.945,0.96,0.923,0.923,0.923
"SHISA2",0,0.643,0.9,0.427,0,0.212,0,0,0.343,0,0,0.212,0,0,0,0,0,0,0,0,0.807,0,0,0,0.853,0,0.643,0,0,0.469,0,0,0.694,0.846,0,0.719,0,0,0,0.853,0.853,0.689,0.872,0.572,0.343,0,0,0.923,0,0,0,0.212,0,0,0,0,0.675,0.853,0,0,0,0,0,0,0.853,0.643,0,0,0.643,0.853,0,0,0
"SIRPG",0,0.643,0.9,0.427,0,0.212,0,0,0.343,0,0,0.212,0,0,0,0,0,0,0,0,0.807,0,0,0,0.853,0,0.643,0,0,0.469,0,0,0.694,0.846,0,0.719,0,0,0,0.853,0.853,0.689,0.872,0.572,0.343,0,0,0.923,0,0,0,0.212,0,0,0,0,0.675,0.853,0,0,0,0,0,0,0.853,0.643,0,0,0.643,0.853,0,0,0
"SLC18A3",0.578,0.842,0.938,0.774,0.616,0.212,0.571,0.49,0.343,0.484,0,0.617,0.443,0.559,0.59,0,0.649,0.615,0.672,0.617,0.879,0.562,0.596,0.619,0.853,0.667,0.838,0.631,0.63,0.741,0.558,0.617,0.694,0.846,0.593,0.873,0.538,0.514,0.606,0.905,0.905,0.689,0.915,0.8,0.738,0.488,0.614,0.737,0,0,0,0.523,0.464,0.406,0,0.612,0.823,0.908,0.602,0.569,0.497,0.516,0.556,0.586,0.853,0.822,0.632,0.632,0.822,0.853,0,0.546,0
"SLC4A11",0.667,0.895,0.946,0.879,0.761,0.395,0.743,0.702,0.509,0.553,0.212,0.787,0.691,0.738,0.749,0.212,0.755,0.769,0.787,0.764,0.897,0.737,0.732,0.762,0.853,0.777,0.893,0.77,0.774,0.857,0.539,0.766,0.694,0.846,0.763,0.92,0.371,0.641,0.728,0.915,0.915,0.773,0.926,0.865,0.856,0.72,0.754,0.089,0.212,0.212,0.523,0,0.479,0.455,0.212,0.772,0.853,0.916,0.751,0.742,0.71,0.44,0.699,0.746,0.853,0.875,0.771,0.771,0.875,0.853,0.212,0.75,0.212
"SLC6A15",0.607,0.865,0.944,0.817,0.665,0.212,0.623,0.562,0.343,0.536,0,0.677,0.532,0.624,0.649,0,0.674,0.675,0.715,0.67,0.888,0.62,0.628,0.673,0.853,0.7,0.862,0.687,0.687,0.788,0.578,0.67,0.694,0.846,0.666,0.893,0.535,0.57,0.646,0.913,0.913,0.689,0.923,0.829,0.787,0.577,0.659,0.693,0,0,0.464,0.479,0,0.362,0,0.68,0.834,0.915,0.649,0.627,0.575,0.56,0.592,0.641,0.853,0.843,0.682,0.682,0.843,0.853,0,0.631,0
"SLC6A2",0.566,0.725,0.945,0.7,0.609,0.212,0.581,0.533,0.343,0.49,0,0.551,0.51,0.576,0.594,0,0.56,0.508,0.64,0.502,0.889,0.574,0.561,0.61,0.853,0.642,0.723,0.616,0.615,0.646,0.528,0.589,0.694,0.846,0.595,0.8,0.49,0.532,0.6,0.913,0.913,0.175,0.925,0.802,0.753,0.539,0.527,0.572,0,0,0.406,0.455,0.362,0,0,0.605,0.83,0.915,0.601,0.515,0.541,0.513,0.567,0.546,0.853,0.72,0.526,0.526,0.72,0.853,0,0.572,0
"SLITRK5",0,0.643,0.9,0.427,0,0.212,0,0,0.343,0,0,0.212,0,0,0,0,0,0,0,0,0.807,0,0,0,0.853,0,0.643,0,0,0.469,0,0,0.694,0.846,0,0.719,0,0,0,0.853,0.853,0.689,0.872,0.572,0.343,0,0,0.923,0,0,0,0.212,0,0,0,0,0.675,0.853,0,0,0,0,0,0,0.853,0.643,0,0,0.643,0.853,0,0,0
"SORCS1",0.486,0.779,0.918,0.674,0.521,0.212,0.477,0.266,0.343,0.445,0,0.503,0.276,0.431,0.472,0,0.544,0.483,0.581,0.507,0.839,0.452,0.546,0.368,0.334,0.605,0.774,0.505,0.504,0.63,0.612,0.507,0.694,0.846,0.416,0.822,0.648,0.322,0.355,0.521,0.521,0.689,0.892,0.722,0.624,0.306,0.531,0.923,0,0,0.612,0.772,0.68,0.605,0,0,0.788,0.879,0.516,0.462,0.348,0.599,0.5,0.364,0.562,0.767,0.527,0.527,0.767,0.853,0,0.347,0
"SOX21",0.701,0.867,0.931,0.887,0.506,0.756,0.815,0.776,0.807,0.755,0.675,0.825,0.772,0.778,0.782,0.675,0.759,0.79,0.794,0.787,0.141,0.785,0.363,0.793,0.853,0.12,0.864,0.783,0.208,0.855,0.827,0.79,0.694,0.846,0.772,0.901,0.827,0.652,0.786,0.893,0.893,0.84,0.907,0.827,0.864,0.778,0.319,0.923,0.675,0.675,0.823,0.853,0.834,0.83,0.675,0.788,0,0.896,0.432,0.795,0.768,0.823,0.424,0.8,0.853,0.224,0.274,0.274,0.224,0.853,0.675,0.782,0.675
"ST6GALNAC5",0.814,0.875,0.635,0.793,0.895,0.89,0.91,0.877,0.913,0.849,0.853,0.907,0.878,0.878,0.872,0.853,0.906,0.856,0.855,0.882,0.912,0.89,0.902,0.883,0.913,0.898,0.857,0.868,0.885,0.919,0.913,0.891,0.79,0.764,0.707,0.882,0.912,0.725,0.891,0.917,0.917,0.929,0.524,0.894,0.921,0.879,0.894,0.96,0.853,0.853,0.908,0.916,0.915,0.915,0.853,0.879,0.896,0,0.897,0.897,0.868,0.912,0.907,0.895,0.913,0.912,0.89,0.89,0.912,0.613,0.853,0.878,0.853
"SUB1",0.512,0.794,0.932,0.735,0.204,0,0.514,0.443,0.343,0.458,0,0.578,0.401,0.451,0.519,0,0.547,0.53,0.576,0.54,0.539,0.501,0.389,0.542,0.853,0.262,0.791,0.542,0.317,0.7,0.604,0.531,0.694,0.846,0.502,0.844,0.626,0.45,0.542,0.895,0.895,0.689,0.909,0.74,0.665,0.431,0.374,0.923,0,0,0.602,0.751,0.649,0.601,0,0.516,0.432,0.897,0,0.506,0.444,0.583,0.33,0.522,0.853,0.518,0.35,0.35,0.518,0.853,0,0.463,0
"THBS4",0.498,0.618,0.931,0.703,0.509,0.212,0.337,0.397,0.343,0.463,0,0.376,0.345,0.302,0.476,0,0.518,0.361,0.548,0.308,0.863,0.457,0.505,0.502,0.853,0.574,0.615,0.497,0.497,0.316,0.577,0.498,0.694,0.846,0.445,0.728,0.599,0.411,0.525,0.894,0.894,0,0.908,0.69,0.599,0.373,0.429,0.923,0,0,0.569,0.742,0.627,0.515,0,0.462,0.795,0.897,0.506,0,0.368,0.567,0.497,0.484,0.853,0.633,0.404,0.404,0.633,0.853,0,0.294,0
"TRDN",0.401,0.75,0.911,0.631,0.431,0.212,0.383,0.314,0.343,0.368,0,0.464,0.193,0.362,0.393,0,0.556,0.389,0.475,0.419,0.831,0.386,0.497,0.406,0.853,0.523,0.746,0.405,0.404,0.541,0.52,0.419,0.694,0.846,0.329,0.802,0.539,0.248,0.474,0.865,0.865,0.689,0.885,0.689,0.492,0.202,0.456,0.923,0,0,0.497,0.71,0.575,0.541,0,0.348,0.768,0.868,0.444,0.368,0,0.51,0.457,0.411,0.853,0.744,0.434,0.434,0.744,0.853,0,0.262,0
"TRPC6",0.552,0.818,0.942,0.777,0.605,0.212,0.569,0.502,0.343,0.413,0,0.623,0.467,0.545,0.584,0,0.63,0.599,0.63,0.605,0.885,0.535,0.592,0.607,0.853,0.65,0.815,0.615,0.614,0.727,0.388,0.585,0.694,0.846,0.584,0.86,0.241,0.519,0.509,0.91,0.91,0.689,0.921,0.793,0.739,0.504,0.602,0.238,0,0,0.516,0.44,0.56,0.513,0,0.599,0.823,0.912,0.583,0.567,0.51,0,0.509,0.581,0.853,0.804,0.614,0.614,0.804,0.853,0,0.55,0
"TWIST1",0.491,0.812,0.94,0.742,0.41,0.212,0.502,0.42,0.343,0.479,0,0.591,0.419,0.479,0.503,0,0.55,0.509,0.544,0.517,0.508,0.493,0.196,0.518,0.853,0.217,0.811,0.517,0.203,0.715,0.552,0.517,0.694,0.846,0.492,0.862,0.574,0.446,0.488,0.906,0.906,0.689,0.92,0.761,0.692,0.45,0.226,0.923,0,0,0.556,0.699,0.592,0.567,0,0.5,0.424,0.907,0.33,0.497,0.457,0.509,0,0.506,0.853,0.466,0.231,0.231,0.466,0.853,0,0.472,0
"UNC5C",0.394,0.805,0.931,0.612,0.525,0.212,0.493,0.262,0.343,0.467,0,0.538,0.35,0.465,0.493,0,0.506,0.502,0.566,0.517,0.862,0.477,0.544,0.29,0.361,0.587,0.802,0.516,0.516,0.687,0.591,0.47,0.694,0.846,0.467,0.851,0.614,0.383,0.442,0.607,0.607,0.689,0.907,0.753,0.671,0.392,0.532,0.923,0,0,0.586,0.746,0.641,0.546,0,0.364,0.8,0.895,0.522,0.484,0.411,0.581,0.506,0,0,0.791,0.53,0.53,0.791,0.853,0,0.428,0
"UNC5D",0.671,0.913,0.946,0.929,0.853,0.89,0.853,0.343,0.913,0.79,0.853,0.89,0.853,0.853,0.853,0.853,0.509,0.853,0.853,0.853,0.89,0.853,0.853,0.343,0.361,0.853,0.913,0.853,0.853,0.913,0.853,0.853,0.79,0.903,0.853,0.939,0.853,0.671,0.505,0.361,0.361,0.929,0.929,0.89,0.913,0.853,0.853,0.96,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.562,0.853,0.913,0.853,0.853,0.853,0.853,0.853,0,0,0.89,0.853,0.853,0.89,0.913,0.853,0.853,0.853
"ZNF132",0.733,0.542,0.943,0.881,0.647,0.733,0.801,0.754,0.79,0.754,0.643,0.627,0.739,0.757,0.771,0.643,0.674,0.531,0.795,0.518,0.178,0.743,0.397,0.785,0.89,0.281,0.539,0.772,0.214,0.517,0.829,0.784,0.754,0.881,0.748,0.672,0.833,0.667,0.752,0.908,0.908,0.175,0.924,0.812,0.855,0.746,0.184,0.945,0.643,0.643,0.822,0.875,0.843,0.72,0.643,0.767,0.224,0.912,0.518,0.633,0.744,0.804,0.466,0.791,0.89,0,0.092,0.092,0,0.89,0.643,0.75,0.643
"ZNF135",0.523,0.554,0.927,0.734,0.47,0.212,0.52,0.433,0.343,0.504,0,0.436,0.38,0.496,0.527,0,0.513,0.359,0.608,0.367,0.283,0.502,0.215,0.556,0.853,0.197,0.551,0.558,0.092,0.453,0.628,0.552,0.694,0.846,0.508,0.675,0.658,0.434,0.558,0.887,0.887,0.175,0.902,0.738,0.69,0.416,0.05,0.923,0,0,0.632,0.771,0.682,0.526,0,0.527,0.274,0.89,0.35,0.404,0.434,0.614,0.231,0.53,0.853,0.092,0,0,0.092,0.853,0,0.462,0
"ZNF334",0.523,0.554,0.927,0.734,0.47,0.212,0.52,0.433,0.343,0.504,0,0.436,0.38,0.496,0.527,0,0.513,0.359,0.608,0.367,0.283,0.502,0.215,0.556,0.853,0.197,0.551,0.558,0.092,0.453,0.628,0.552,0.694,0.846,0.508,0.675,0.658,0.434,0.558,0.887,0.887,0.175,0.902,0.738,0.69,0.416,0.05,0.923,0,0,0.632,0.771,0.682,0.526,0,0.527,0.274,0.89,0.35,0.404,0.434,0.614,0.231,0.53,0.853,0.092,0,0,0.092,0.853,0,0.462,0
"ZNF793",0.733,0.542,0.943,0.881,0.647,0.733,0.801,0.754,0.79,0.754,0.643,0.627,0.739,0.757,0.771,0.643,0.674,0.531,0.795,0.518,0.178,0.743,0.397,0.785,0.89,0.281,0.539,0.772,0.214,0.517,0.829,0.784,0.754,0.881,0.748,0.672,0.833,0.667,0.752,0.908,0.908,0.175,0.924,0.812,0.855,0.746,0.184,0.945,0.643,0.643,0.822,0.875,0.843,0.72,0.643,0.767,0.224,0.912,0.518,0.633,0.744,0.804,0.466,0.791,0.89,0,0.092,0.092,0,0.89,0.643,0.75,0.643
"C6orf186",0.671,0.853,0.76,0.73,0.853,0.89,0.853,0.853,0.913,0.79,0.853,0.89,0.853,0.853,0.853,0.853,0.853,0.828,0.808,0.853,0.89,0.853,0.853,0.853,0.913,0.853,0.827,0.853,0.853,0.913,0.853,0.853,0.79,0.764,0.643,0.853,0.853,0.671,0.853,0.913,0.913,0.929,0.681,0.89,0.913,0.853,0.853,0.96,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.613,0.853,0.853,0.853,0.853,0.853,0.853,0.913,0.89,0.853,0.853,0.89,0,0.853,0.853,0.853
"C8orf85",0,0.643,0.9,0.427,0,0.212,0,0,0.343,0,0,0.212,0,0,0,0,0,0,0,0,0.807,0,0,0,0.853,0,0.643,0,0,0.469,0,0,0.694,0.846,0,0.719,0,0,0,0.853,0.853,0.689,0.872,0.572,0.343,0,0,0.923,0,0,0,0.212,0,0,0,0,0.675,0.853,0,0,0,0,0,0,0.853,0.643,0,0,0.643,0.853,0,0,0
"FAM19A4",0.449,0.754,0.916,0.624,0.461,0.212,0.372,0.304,0.343,0.388,0,0.453,0.211,0.365,0.407,0,0.582,0.405,0.516,0.442,0.838,0.396,0.518,0.446,0.853,0.561,0.748,0.427,0.426,0.536,0.563,0.442,0.694,0.846,0.319,0.803,0.592,0.258,0.499,0.873,0.873,0.689,0.891,0.69,0.512,0.227,0.482,0.923,0,0,0.546,0.75,0.631,0.572,0,0.347,0.782,0.878,0.463,0.294,0.262,0.55,0.472,0.428,0.853,0.75,0.462,0.462,0.75,0.853,0,0,0
"WDR8",0,0.643,0.9,0.427,0,0.212,0,0,0.343,0,0,0.212,0,0,0,0,0,0,0,0,0.807,0,0,0,0.853,0,0.643,0,0,0.469,0,0,0.694,0.846,0,0.719,0,0,0,0.853,0.853,0.689,0.872,0.572,0.343,0,0,0.923,0,0,0,0.212,0,0,0,0,0.675,0.853,0,0,0,0,0,0,0.853,0.643,0,0,0.643,0.853,0,0,0
