selection_model,train_model,features,fpr,tpr,threshold
XGBoost,RandomForest,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2727272727272727, 0.45454545454545453, 1.0]","[0.0, 0.775, 0.9125, 0.9875, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.98 0.96 0.84 0.06 0.04 0.  ]
XGBoost,SVM,20,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0125, 1.0, 1.0]",[       inf 0.99999991 0.87620435 0.00224523]
XGBoost,DecisionTree,20,"[0.0, 0.09090909090909091, 1.0]","[0.0, 0.975, 1.0]",[inf  1.  0.]
XGBoost,XGBoost,21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45454545454545453, 1.0]","[0.0, 0.75, 0.8, 0.8125, 0.85, 0.8625, 0.9375, 0.95, 0.975, 1.0, 1.0, 1.0]","[       inf 0.5896971  0.5880964  0.58550686 0.5849727  0.58458203
 0.58125395 0.5766114  0.57520074 0.54344463 0.4195282  0.41028365]"
XGBoost,RandomForest,21,"[0.0, 0.0, 0.0, 0.0, 0.36363636363636365, 1.0]","[0.0, 0.9375, 0.975, 1.0, 1.0, 1.0]",[ inf 1.   0.95 0.85 0.05 0.  ]
XGBoost,SVM,21,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0125, 1.0, 1.0]",[       inf 0.99999994 0.87081182 0.00230569]
XGBoost,DecisionTree,21,"[0.0, 0.09090909090909091, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
XGBoost,XGBoost,22,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.18181818181818182, 1.0]","[0.0, 0.875, 0.9375, 0.9875, 1.0, 1.0, 1.0]","[       inf 0.5049178  0.5039634  0.5020103  0.50100654 0.49714452
 0.495221  ]"
XGBoost,RandomForest,22,"[0.0, 0.0, 0.0, 0.0, 0.18181818181818182, 0.45454545454545453, 1.0]","[0.0, 0.9125, 0.9625, 1.0, 1.0, 1.0, 1.0]",[inf 1.  0.9 0.8 0.3 0.1 0. ]
XGBoost,SVM,22,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0125, 1.0, 1.0]",[       inf 0.99999987 0.90834498 0.00210116]
XGBoost,DecisionTree,22,"[0.0, 0.0, 1.0]","[0.0, 0.9875, 1.0]",[inf  1.  0.]
XGBoost,XGBoost,23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.18181818181818182, 1.0]","[0.0, 0.875, 0.9375, 0.9875, 1.0, 1.0, 1.0]","[       inf 0.5049178  0.5039634  0.5020103  0.50100654 0.49714452
 0.495221  ]"
XGBoost,RandomForest,23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45454545454545453, 1.0]","[0.0, 0.8125, 0.9125, 0.9625, 0.9875, 1.0, 1.0, 1.0]",[ inf 1.   0.98 0.96 0.94 0.9  0.04 0.  ]
XGBoost,SVM,23,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0125, 1.0, 1.0]",[       inf 0.99999993 0.8444695  0.00243007]
XGBoost,DecisionTree,23,"[0.0, 0.18181818181818182, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
XGBoost,XGBoost,24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.36363636363636365, 1.0]","[0.0, 0.8625, 0.9125, 0.95, 0.9625, 0.9875, 1.0, 1.0, 1.0]","[       inf 0.50491744 0.5047243  0.5044254  0.50393355 0.5038432
 0.50327754 0.49551797 0.495082  ]"
XGBoost,RandomForest,24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45454545454545453, 1.0]","[0.0, 0.775, 0.8375, 0.9375, 0.975, 1.0, 1.0, 1.0]",[ inf 1.   0.98 0.96 0.94 0.82 0.04 0.  ]
XGBoost,SVM,24,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0125, 1.0, 1.0]",[       inf 0.99999994 0.83290703 0.00228674]
XGBoost,DecisionTree,24,"[0.0, 0.09090909090909091, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
XGBoost,XGBoost,25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2727272727272727, 1.0]","[0.0, 0.9, 0.9375, 0.9625, 0.975, 1.0, 1.0, 1.0]","[       inf 0.8184399  0.77137476 0.76838624 0.6552063  0.5674584
 0.23554978 0.18740554]"
XGBoost,RandomForest,25,"[0.0, 0.0, 0.0, 0.18181818181818182, 0.36363636363636365, 1.0]","[0.0, 0.9375, 1.0, 1.0, 1.0, 1.0]",[inf 1.  0.9 0.4 0.1 0. ]
XGBoost,SVM,25,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0125, 1.0, 1.0]",[       inf 0.99999995 0.82689844 0.00229734]
XGBoost,DecisionTree,25,"[0.0, 0.09090909090909091, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
