train_model,test_model,features,AUC,accuracy (5-fold-Cross-Validation),accuracy,precision,recall,f1_score,MCC,J-index,incorrect predictions count
DT,SVM,72,0.69009901,0.920607763,0.927927928,0.942857143,0.98019802,0.961165049,0.481393545,0.888323968,8
DT,LR,72,0.69009901,0.920633299,0.927927928,0.942857143,0.98019802,0.961165049,0.481393545,0.888323968,8
DT,DT,72,0.875247525,0.916011236,0.936936937,0.979591837,0.95049505,0.964824121,0.66822667,0.837927036,7
DT,RF,72,0.89009901,0.945531154,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,XGB,72,0.89009901,0.961440245,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,SVM,73,0.69009901,0.92288049,0.927927928,0.942857143,0.98019802,0.961165049,0.481393545,0.888323968,8
DT,LR,73,0.64009901,0.918360572,0.918918919,0.933962264,0.98019802,0.956521739,0.386801201,0.879314959,9
DT,DT,73,0.875247525,0.925153218,0.936936937,0.979591837,0.95049505,0.964824121,0.66822667,0.837927036,7
DT,RF,73,0.89009901,0.950102145,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,XGB,73,0.89009901,0.9659857,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,SVM,74,0.64009901,0.922906027,0.918918919,0.933962264,0.98019802,0.956521739,0.386801201,0.879314959,9
DT,LR,74,0.69009901,0.918360572,0.927927928,0.942857143,0.98019802,0.961165049,0.481393545,0.888323968,8
DT,DT,74,0.825247525,0.925178754,0.927927928,0.96969697,0.95049505,0.96,0.599786191,0.828918027,8
DT,RF,74,0.89009901,0.945556691,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,XGB,74,0.84009901,0.963712972,0.954954955,0.970588235,0.98019802,0.975369458,0.713468346,0.915350995,5
DT,SVM,75,0.74009901,0.920607763,0.936936937,0.951923077,0.98019802,0.965853659,0.565607764,0.897332977,7
DT,LR,75,0.64009901,0.916087845,0.918918919,0.933962264,0.98019802,0.956521739,0.386801201,0.879314959,9
DT,DT,75,0.87029703,0.911465781,0.927927928,0.979381443,0.940594059,0.95959596,0.638691338,0.809116047,8
DT,RF,75,0.84009901,0.943309499,0.954954955,0.970588235,0.98019802,0.975369458,0.713468346,0.915350995,5
DT,XGB,75,0.89009901,0.9659857,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,SVM,76,0.74009901,0.918335036,0.936936937,0.951923077,0.98019802,0.965853659,0.565607764,0.897332977,7
DT,LR,76,0.69009901,0.920633299,0.927927928,0.942857143,0.98019802,0.961165049,0.481393545,0.888323968,8
DT,DT,76,0.82029703,0.920556691,0.918918919,0.969387755,0.940594059,0.954773869,0.570372896,0.800107038,9
DT,RF,76,0.79009901,0.945556691,0.945945946,0.961165049,0.98019802,0.970588235,0.642352359,0.906341986,6
DT,XGB,76,0.89009901,0.963712972,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,SVM,77,0.74009901,0.925153218,0.936936937,0.951923077,0.98019802,0.965853659,0.565607764,0.897332977,7
DT,LR,77,0.69009901,0.916087845,0.927927928,0.942857143,0.98019802,0.961165049,0.481393545,0.888323968,8
DT,DT,77,0.825247525,0.931894791,0.927927928,0.96969697,0.95049505,0.96,0.599786191,0.828918027,8
DT,RF,77,0.84009901,0.943258427,0.954954955,0.970588235,0.98019802,0.975369458,0.713468346,0.915350995,5
DT,XGB,77,0.89009901,0.961440245,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,SVM,78,0.69009901,0.92288049,0.927927928,0.942857143,0.98019802,0.961165049,0.481393545,0.888323968,8
DT,LR,78,0.64009901,0.913815117,0.918918919,0.933962264,0.98019802,0.956521739,0.386801201,0.879314959,9
DT,DT,78,0.87029703,0.90921859,0.927927928,0.979381443,0.940594059,0.95959596,0.638691338,0.809116047,8
DT,RF,78,0.89009901,0.954622063,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,XGB,78,0.89009901,0.9659857,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,SVM,79,0.74009901,0.925153218,0.936936937,0.951923077,0.98019802,0.965853659,0.565607764,0.897332977,7
DT,LR,79,0.64009901,0.920633299,0.918918919,0.933962264,0.98019802,0.956521739,0.386801201,0.879314959,9
DT,DT,79,0.825247525,0.925153218,0.927927928,0.96969697,0.95049505,0.96,0.599786191,0.828918027,8
DT,RF,79,0.89009901,0.947829418,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,XGB,79,0.89009901,0.963738509,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,SVM,80,0.69009901,0.927425945,0.927927928,0.942857143,0.98019802,0.961165049,0.481393545,0.888323968,8
DT,LR,80,0.64009901,0.920633299,0.918918919,0.933962264,0.98019802,0.956521739,0.386801201,0.879314959,9
DT,DT,80,0.825247525,0.931971399,0.927927928,0.96969697,0.95049505,0.96,0.599786191,0.828918027,8
DT,RF,80,0.84009901,0.956894791,0.954954955,0.970588235,0.98019802,0.975369458,0.713468346,0.915350995,5
DT,XGB,80,0.89009901,0.963738509,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,SVM,81,0.74009901,0.934244127,0.936936937,0.951923077,0.98019802,0.965853659,0.565607764,0.897332977,7
DT,LR,81,0.64009901,0.920633299,0.918918919,0.933962264,0.98019802,0.956521739,0.386801201,0.879314959,9
DT,DT,81,0.875247525,0.911491318,0.936936937,0.979591837,0.95049505,0.964824121,0.66822667,0.837927036,7
DT,RF,81,0.89009901,0.950102145,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,XGB,81,0.89009901,0.961465781,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,SVM,82,0.74009901,0.918335036,0.936936937,0.951923077,0.98019802,0.965853659,0.565607764,0.897332977,7
DT,LR,82,0.64009901,0.916087845,0.918918919,0.933962264,0.98019802,0.956521739,0.386801201,0.879314959,9
DT,DT,82,0.825247525,0.909244127,0.927927928,0.96969697,0.95049505,0.96,0.599786191,0.828918027,8
DT,RF,82,0.89009901,0.943283963,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,XGB,82,0.89009901,0.961465781,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
