selection_model,train_model,features,accuracy,recall,specificity,precision,f1_score,J-index,AUC,MCC,Mean cross-validated score,Best parameters
Random Forest,SVM,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9636874361593464,"{'C': 50, 'kernel': 'rbf'}"
Random Forest,XGBoost,45,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
Random Forest,Random Forest,45,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
Random Forest,Decision Tree,45,0.909297052154195,0.912718204488778,0.875,0.9865229110512129,0.9481865284974094,0.787718204488778,0.893859102244389,0.6190661951164147,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
Random Forest,SVM,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9705056179775282,"{'C': 100, 'kernel': 'rbf'}"
Random Forest,XGBoost,50,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
Random Forest,Random Forest,50,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
Random Forest,Decision Tree,50,0.9138321995464853,0.9152119700748129,0.9,0.9892183288409704,0.9507772020725389,0.815211970074813,0.9076059850374065,0.6406734916772646,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
Random Forest,SVM,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9682328907048008,"{'C': 50, 'kernel': 'rbf'}"
Random Forest,XGBoost,55,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
Random Forest,Random Forest,55,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
Random Forest,Decision Tree,55,0.9138321995464853,0.9152119700748129,0.9,0.9892183288409704,0.9507772020725389,0.815211970074813,0.9076059850374065,0.6406734916772646,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
Random Forest,SVM,55,0.9977324263038548,0.9975062344139651,1.0,1.0,0.9987515605493134,0.9975062344139651,0.9987531172069826,0.9864972448326477,0.9659856996935648,"{'C': 50, 'kernel': 'rbf'}"
Random Forest,XGBoost,60,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
Random Forest,Random Forest,60,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
Random Forest,Decision Tree,60,0.9138321995464853,0.9152119700748129,0.9,0.9892183288409704,0.9507772020725389,0.815211970074813,0.9076059850374065,0.6406734916772646,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
Random Forest,SVM,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9614657814096017,"{'C': 100, 'kernel': 'rbf'}"
Random Forest,XGBoost,65,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
Random Forest,Random Forest,65,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
Random Forest,Decision Tree,65,0.909297052154195,0.912718204488778,0.875,0.9865229110512129,0.9481865284974094,0.787718204488778,0.893859102244389,0.6190661951164147,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
Random Forest,SVM,65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9659856996935648,"{'C': 50, 'kernel': 'rbf'}"
Random Forest,XGBoost,70,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
Random Forest,Random Forest,70,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
Random Forest,Decision Tree,70,0.9138321995464853,0.9152119700748129,0.9,0.9892183288409704,0.9507772020725389,0.815211970074813,0.9076059850374065,0.6406734916772646,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
Random Forest,SVM,70,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9614402451481103,"{'C': 50, 'kernel': 'rbf'}"
Random Forest,XGBoost,75,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
Random Forest,Random Forest,75,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
Random Forest,Decision Tree,75,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
