"","ALOX12","APLNR","CD46","CDH5","CEACAM5","CHRNA6","CKLF","CLEC9A","CMTM5","CRISP2","CRTC1","CSMD1","CX3CL1","CXCL17","CYP1A1","DGKA","EGF","FOXP4","GJB5","GLP1R","GNA13","HIPK3","HMGB1","HOXA3","IL32","IVL","KCNE3","KLK12","KRT75","LCOR","MIR1-1","MIR1180","MIR124-3","MIR134","MIR141","MIR346","MIR493","MUC1","NAT1","NEFM","PANX3","PCYT2","PDCD1LG2","PGC","PRSS1","PTF1A","RAB6B","RING1","SALL3","SDR9C7","SFRP5","SLC4A1","SOX1","SPAG6","SSTR5","TGM2","TNFRSF9","TP73","XAF1"
"MIR1-1",0.588,0.67,0.499,0.687,0.547,0.728,0.316,0.612,0.346,0,0.695,0.531,0.481,0,0.816,0.641,0.518,0.757,0.811,0.646,0.664,0.695,0.607,0.754,0.401,0.63,0.703,0.36,0.667,0.789,0,0,0,0,0,0,0,0.563,0.62,0.736,0.742,0.659,0.532,0,0.319,0.651,0.692,0.743,0.76,0.697,0,0.618,0.757,0.645,0.732,0.67,0.746,0.692,0.692
"MIR1180",0.853,0.903,0.853,0.853,0.853,0.89,0.853,0.853,0.853,0.871,0.871,0.853,0.853,0.871,0.929,0.853,0.853,0.902,0.866,0.853,0.853,0.871,0.733,0.902,0.853,0.871,0.871,0.853,0.881,0.919,0,0,0,0,0,0,0.871,0.871,0.881,0.871,0.903,0.671,0.853,0.871,0.853,0.643,0.853,0.782,0.938,0.871,0.871,0.853,0.902,0.853,0.903,0.841,0.903,0.853,0.871
"MIR124-3",0.853,0.903,0.853,0.853,0.853,0.89,0.853,0.853,0.853,0.871,0.871,0.853,0.853,0.871,0.929,0.853,0.853,0.902,0.866,0.853,0.853,0.871,0.733,0.902,0.853,0.871,0.871,0.853,0.881,0.919,0,0,0,0,0,0,0.871,0.871,0.881,0.871,0.903,0.671,0.853,0.871,0.853,0.643,0.853,0.782,0.938,0.871,0.871,0.853,0.902,0.853,0.903,0.841,0.903,0.853,0.871
"MIR134",0.588,0.67,0.499,0.687,0.547,0.728,0.316,0.612,0.346,0,0.695,0.531,0.481,0,0.816,0.641,0.518,0.757,0.811,0.646,0.664,0.695,0.607,0.754,0.401,0.63,0.703,0.36,0.667,0.789,0,0,0,0,0,0,0,0.563,0.62,0.736,0.742,0.659,0.532,0,0.319,0.651,0.692,0.743,0.76,0.697,0,0.618,0.757,0.645,0.732,0.67,0.746,0.692,0.692
"MIR141",0.588,0.67,0.499,0.687,0.547,0.728,0.316,0.612,0.346,0,0.695,0.531,0.481,0,0.816,0.641,0.518,0.757,0.811,0.646,0.664,0.695,0.607,0.754,0.401,0.63,0.703,0.36,0.667,0.789,0,0,0,0,0,0,0,0.563,0.62,0.736,0.742,0.659,0.532,0,0.319,0.651,0.692,0.743,0.76,0.697,0,0.618,0.757,0.645,0.732,0.67,0.746,0.692,0.692
"MIR346",0.853,0.903,0.853,0.853,0.853,0.89,0.853,0.853,0.853,0.871,0.871,0.853,0.853,0.871,0.929,0.853,0.853,0.902,0.866,0.853,0.853,0.871,0.733,0.902,0.853,0.871,0.871,0.853,0.881,0.919,0,0,0,0,0,0,0.871,0.871,0.881,0.871,0.903,0.671,0.853,0.871,0.853,0.643,0.853,0.782,0.938,0.871,0.871,0.853,0.902,0.853,0.903,0.841,0.903,0.853,0.871
"MIR493",0.407,0.67,0,0.531,0.197,0.627,0,0.531,0,0,0.588,0.531,0,0,0.741,0.531,0,0.684,0.811,0.531,0.407,0.588,0,0.684,0,0.407,0.588,0,0.407,0.739,0,0.871,0.871,0,0,0.871,0,0,0.62,0.588,0.67,0.588,0.197,0,0,0.588,0.531,0.62,0.76,0.588,0,0.159,0.684,0.197,0.67,0.407,0.67,0.531,0.588
"MUC1",0.365,0,0.331,0.443,0.286,0.553,0.414,0.574,0.435,0,0.344,0.313,0.4,0,0.518,0.458,0.307,0.395,0.468,0.472,0.326,0.351,0.331,0.374,0.424,0.337,0.417,0.437,0.397,0.48,0.563,0.871,0.871,0.563,0.563,0.871,0,0,0.6,0.599,0.571,0.615,0.396,0,0.461,0.423,0.471,0.439,0,0.481,0,0.342,0.395,0.419,0.567,0.274,0.528,0.332,0.517
"NAT1",0,0.694,0.573,0.573,0.573,0.658,0.573,0.573,0.573,0.62,0,0.573,0.296,0.62,0.625,0,0.573,0.6,0.821,0.573,0,0,0.477,0.6,0,0,0.159,0.556,0,0.66,0.62,0.881,0.881,0.62,0.62,0.881,0.62,0.6,0,0.159,0.694,0.159,0.573,0.62,0.573,0.159,0,0,0.66,0.159,0.62,0.545,0.6,0.573,0.694,0,0.694,0,0
"NEFM",0.484,0.67,0.678,0.663,0.67,0.633,0.66,0.668,0.674,0.588,0.49,0.531,0.492,0.588,0.635,0.546,0.669,0.56,0.811,0.684,0.528,0.491,0.564,0.568,0.538,0.451,0.548,0.639,0.343,0.681,0.736,0.871,0.871,0.736,0.736,0.871,0.588,0.599,0.159,0,0.775,0.49,0.675,0.588,0.672,0.454,0.496,0.586,0.604,0.451,0.588,0.604,0.56,0.458,0.647,0.512,0.779,0.483,0.441
"PANX3",0.497,0,0.496,0.371,0.417,0.452,0.522,0.486,0.496,0.67,0.559,0.313,0.523,0.67,0.792,0.339,0.587,0.775,0.417,0.25,0.528,0.56,0.716,0.777,0.536,0.594,0.538,0.683,0.614,0.805,0.742,0.903,0.903,0.742,0.742,0.903,0.67,0.571,0.694,0.775,0,0.698,0.373,0.67,0.651,0.746,0.705,0.798,0.823,0.717,0.67,0.51,0.775,0.759,0.391,0.608,0.273,0.683,0.724
"PCYT2",0.413,0.67,0.609,0.61,0.622,0.701,0.564,0.56,0.571,0.588,0.424,0.531,0.52,0.588,0.386,0.454,0.608,0.588,0.811,0.587,0.496,0.424,0.522,0.596,0.44,0.453,0.574,0.534,0.568,0.621,0.659,0.671,0.671,0.659,0.659,0.671,0.588,0.615,0.159,0.49,0.698,0,0.601,0.588,0.618,0.389,0.394,0.558,0.556,0.308,0.588,0.643,0.588,0.569,0.689,0.492,0.705,0.441,0.324
"PDCD1LG2",0.399,0,0.349,0.401,0.258,0.432,0.255,0.412,0.33,0.197,0.461,0.313,0.309,0.197,0.731,0.299,0.343,0.703,0.468,0.254,0.455,0.461,0.489,0.705,0.365,0.481,0.46,0.356,0.506,0.748,0.532,0.853,0.853,0.532,0.532,0.853,0.197,0.396,0.573,0.675,0.373,0.601,0,0.197,0.363,0.646,0.506,0.71,0.732,0.619,0.197,0.403,0.703,0.545,0.365,0.518,0.209,0.603,0.627
"PGC",0.407,0.67,0,0.531,0.197,0.627,0,0.531,0,0,0.588,0.531,0,0,0.741,0.531,0,0.684,0.811,0.531,0.407,0.588,0,0.684,0,0.407,0.588,0,0.407,0.739,0,0.871,0.871,0,0,0.871,0,0,0.62,0.588,0.67,0.588,0.197,0,0,0.588,0.531,0.62,0.76,0.588,0,0.159,0.684,0.197,0.67,0.407,0.67,0.531,0.588
"PRSS1",0.519,0.613,0.392,0.617,0.419,0.659,0.183,0.524,0.246,0,0.622,0.457,0.354,0,0.772,0.545,0.391,0.699,0.795,0.541,0.595,0.622,0.519,0.702,0.293,0.569,0.637,0.221,0.599,0.744,0.319,0.853,0.853,0.319,0.319,0.853,0,0.461,0.573,0.672,0.651,0.618,0.363,0,0,0.642,0.619,0.708,0.732,0.615,0,0.499,0.699,0.507,0.643,0.504,0.655,0.62,0.623
"PTF1A",0.447,0.67,0.648,0.591,0.642,0.726,0.62,0.626,0.635,0.588,0.281,0.531,0.546,0.588,0.475,0.508,0.631,0.234,0.783,0.649,0.435,0.287,0.367,0.244,0.496,0.399,0.57,0.593,0.545,0.392,0.651,0.643,0.643,0.651,0.651,0.643,0.588,0.423,0.159,0.454,0.746,0.389,0.646,0.588,0.642,0,0.426,0.294,0,0.26,0.588,0.643,0.234,0.438,0.74,0.351,0.749,0.219,0.303
"RAB6B",0.392,0.627,0.549,0.528,0.592,0.572,0.588,0.595,0.603,0.531,0.366,0.457,0.499,0.531,0.448,0.423,0.516,0.514,0.743,0.614,0.409,0.37,0.386,0.509,0.413,0.421,0.524,0.47,0.504,0.522,0.692,0.853,0.853,0.692,0.692,0.853,0.531,0.471,0,0.496,0.705,0.394,0.506,0.531,0.619,0.426,0,0.451,0.306,0.322,0.531,0.614,0.514,0.477,0.717,0.406,0.725,0.252,0.295
